1648435843562|0|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/ecms_servera?createDatabaseIfNotExist=true&serverTimezone=UTC&useUnicode=true&characterEncoding=UTF-8&useSSL=false&allowPublicKeyRetrieval=true&allowMultiQueries=true|select id, code, parent_id, name, type, path, publish_time, sort_order, keyword, custom_url, description from cms_column WHERE  parent_id = ?|select id, code, parent_id, name, type, path, publish_time, sort_order, keyword, custom_url, description from cms_column WHERE  parent_id = 1646925867
1648435843565|0|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/ecms_servera?createDatabaseIfNotExist=true&serverTimezone=UTC&useUnicode=true&characterEncoding=UTF-8&useSSL=false&allowPublicKeyRetrieval=true&allowMultiQueries=true|select id, code, parent_id, name, type, path, publish_time, sort_order, keyword, custom_url, description from cms_column WHERE  parent_id = ?|select id, code, parent_id, name, type, path, publish_time, sort_order, keyword, custom_url, description from cms_column WHERE  parent_id = 1502170739765010434
1648435843567|0|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/ecms_servera?createDatabaseIfNotExist=true&serverTimezone=UTC&useUnicode=true&characterEncoding=UTF-8&useSSL=false&allowPublicKeyRetrieval=true&allowMultiQueries=true|select id, code, parent_id, name, type, path, publish_time, sort_order, keyword, custom_url, description from cms_column WHERE  parent_id = ?|select id, code, parent_id, name, type, path, publish_time, sort_order, keyword, custom_url, description from cms_column WHERE  parent_id = 1504653428019453953
1648435843569|0|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/ecms_servera?createDatabaseIfNotExist=true&serverTimezone=UTC&useUnicode=true&characterEncoding=UTF-8&useSSL=false&allowPublicKeyRetrieval=true&allowMultiQueries=true|select id, code, parent_id, name, type, path, publish_time, sort_order, keyword, custom_url, description from cms_column WHERE  parent_id = ?|select id, code, parent_id, name, type, path, publish_time, sort_order, keyword, custom_url, description from cms_column WHERE  parent_id = 1505952847067197442
1648435843571|0|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/ecms_servera?createDatabaseIfNotExist=true&serverTimezone=UTC&useUnicode=true&characterEncoding=UTF-8&useSSL=false&allowPublicKeyRetrieval=true&allowMultiQueries=true|select id, code, parent_id, name, type, path, publish_time, sort_order, keyword, custom_url, description from cms_column WHERE  parent_id = ?|select id, code, parent_id, name, type, path, publish_time, sort_order, keyword, custom_url, description from cms_column WHERE  parent_id = 1505955204605784065
1648435843572|0|commit|connection 0|url jdbc:p6spy:mysql://localhost:3306/ecms_servera?createDatabaseIfNotExist=true&serverTimezone=UTC&useUnicode=true&characterEncoding=UTF-8&useSSL=false&allowPublicKeyRetrieval=true&allowMultiQueries=true||
1648435848939|0|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/ecms_servera?createDatabaseIfNotExist=true&serverTimezone=UTC&useUnicode=true&characterEncoding=UTF-8&useSSL=false&allowPublicKeyRetrieval=true&allowMultiQueries=true|SELECT 1|SELECT 1
1648435848945|0|statement|connection 2|url jdbc:p6spy:mysql://localhost:3306/ecms_servera?createDatabaseIfNotExist=true&serverTimezone=UTC&useUnicode=true&characterEncoding=UTF-8&useSSL=false&allowPublicKeyRetrieval=true&allowMultiQueries=true|SELECT 1|SELECT 1
1648435848946|3|statement|connection 1|url jdbc:p6spy:mysql://localhost:3306/ecms_servera?createDatabaseIfNotExist=true&serverTimezone=UTC&useUnicode=true&characterEncoding=UTF-8&useSSL=false&allowPublicKeyRetrieval=true&allowMultiQueries=true|SELECT 1|SELECT 1
1648435848983|41|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/ecms_servera?createDatabaseIfNotExist=true&serverTimezone=UTC&useUnicode=true&characterEncoding=UTF-8&useSSL=false&allowPublicKeyRetrieval=true&allowMultiQueries=true|select count(case when id is not null then 0 END) as 'all',        count(case when state = 0 then 0 end) as eidt,        count(case when state = 1 then 0 end) as notApproved,        count(case when state = 2 then 0 end) as approved,        count(case when state = 3 then 0 end) as reject  from  cms_article|select count(case when id is not null then 0 END) as 'all',        count(case when state = 0 then 0 end) as eidt,        count(case when state = 1 then 0 end) as notApproved,        count(case when state = 2 then 0 end) as approved,        count(case when state = 3 then 0 end) as reject  from  cms_article
